threshold,precision,recall,f1_score,missed_attacks,false_alarms
0.1,0.9960031974420464,1.0,0.9979975971165399,0,85
0.15,0.9968466136395726,0.999905580209612,0.9983737538004667,2,67
0.2,0.9971751412429378,0.999905580209612,0.9985384941775494,2,60
0.25,0.9977387289772459,0.9998583703144179,0.9987974250748661,3,48
0.3,0.9981617647058824,0.9997639505240299,0.9989622151988301,5,39
0.35,0.9987265352325252,0.9996695307336417,0.9991978104945263,7,27
0.4,0.998961872404681,0.9994334812576716,0.9991976211828008,12,22
0.45,0.9990559803643916,0.9992446416768955,0.9991503021148036,16,20
0.5,0.999244499008405,0.9990558020961193,0.9991501416430595,20,16
0.55,0.9993860104850517,0.9989613823057313,0.9991736512808406,22,13
0.6,0.999385865457294,0.9987253328297612,0.9990554899645808,27,13
0.65,0.9995273878727728,0.9984420734585969,0.9989844358895633,33,10
0.7,0.9996217136372234,0.9980171844018506,0.9988188046302858,42,8
0.75,0.9996214988644966,0.9974506656595222,0.9985349024055957,54,8
0.8,0.999763268784622,0.9968841469171938,0.998321632035553,66,5
0.85,0.9998578535891969,0.9962232083844774,0.9980372218412278,80,3
0.9,0.9998576715058355,0.9949485412142385,0.9973970657832466,107,3
